Date,Open,High,Low,Close,Volume
2018-02-13,2976.35,3018.87,2929.58,2946.58,2483346
2018-02-14,2840.29,2895.56,2793.51,2857.29,4322163
2018-02-15,2891.31,2921.07,2853.03,2887.06,2866466
2018-02-16,2929.58,2989.1,2921.07,2942.34,2115864
2018-02-19,2972.1,3027.36,2963.61,3006.1,1734392
2018-02-20,2976.35,2976.35,2861.56,2916.82,2734999
2018-02-21,2882.8,2929.58,2874.31,2925.32,2669970
2018-02-22,2874.31,2887.06,2857.29,2882.8,2298842
2018-02-23,2904.06,2950.82,2895.56,2938.08,1369967
2018-02-26,2929.58,2950.82,2904.06,2938.08,2111162
2018-02-27,2972.1,2989.1,2955.07,2967.84,1840110
2018-02-28,2946.58,2976.35,2895.56,2895.56,1646432
2018-03-01,2955.07,2967.84,2887.06,2933.83,2454420
2018-03-02,2848.78,2853.03,2793.51,2797.77,2692312
2018-03-05,2768.0,2785.01,2708.47,2721.23,3667635
2018-03-06,2780.75,2831.79,2780.75,2797.77,2066359
2018-03-07,2768.0,2785.01,2725.49,2742.49,2936908
2018-03-08,2759.5,2759.5,2708.47,2729.73,2119041
2018-03-09,2708.47,2789.26,2704.22,2725.49,3300155
2018-03-12,2768.0,2793.51,2755.25,2776.5,1709698
2018-03-13,2742.49,2802.01,2733.98,2797.77,1399838
2018-03-14,2746.74,2780.75,2746.74,2768.0,1697231
2018-03-15,2746.74,2759.5,2704.22,2746.74,1428295
2018-03-16,2768.0,2768.0,2704.22,2721.23,1949824
2018-03-19,2682.97,2712.73,2657.44,2678.71,1861628
2018-03-20,2631.94,2721.23,2627.69,2721.23,2019676
2018-03-22,2721.23,2772.25,2712.73,2763.75,2199711
2018-03-23,2648.95,2665.95,2532.46,2546.9,4917188
2018-03-26,2504.39,2542.64,2483.11,2542.64,2900687
2018-03-27,2572.42,2653.2,2568.17,2644.7,2248748
2018-03-28,2585.16,2657.44,2585.16,2657.44,2022966
